"Statutaire naam";"Handelsnaam";"Statutaire zetel"
"Gallagher Benefits Consulting Limited";"Gallagher Benefits Consulting Limited";"LONDON"
"Gallagher Benefits Consulting Limited";"Gallagher Benefits Consulting Limited";""
"Gallagher Risk & Reward Limited";"Gallagher Risk & Reward Limited";"London"
"Galleon Marine Insurance Agency Ltd";"Galleon Marine Insurance Agency Ltd";""
"GAMMA BROKERS SRL";"GAMMA BROKERS SRL";""
"GANA B.V.";"GANA B.V., Gana Adviesgroep, Gana Hypotheekadviseurs, Gana Pensioenadviseurs, Gana Verzekeringsadviseurs, Regiopolis Assuradeuren";"GEMEENTE NIJMEGEN"
"GANA Peters V.O.F.";"GANA Peters V.O.F.";"Nijmegen"
"Garage A. van Eendenburg";"Garage Eendenburg, Garage A. van Eendenburg";"Brielle"
"Garage A.H. den Breejen Almkerk B.V.";"Garage A.H. den Breejen Almkerk B.V.";"ALMKERK"
"Garage Abcoude B.V.";"Garage Abcoude B.V.";"ABCOUDE"
"Garage Albert Roxs B.V.";"Garage Albert Roxs B.V.";"EINDHOVEN"
"Garage Bergsteijn B.V.";"Garage Bergsteijn B.V.";"VALKENBURG AD GEUL"
"Garage Binnenmars";"Garage Binnenmars, Garage Binnenmars, Garage Binnenmars B.V.";"Beerzerveld"
"Garage Boerenkamp B.V.";"Garage Boerenkamp B.V.";"DEURNE"
"Garage Boersma";"Garage Boersma";"Winsum"
"Garage Bosscha";"Autobedrijf Bosscha, Garage Bosscha";"Langezwaag"
"Garage Bossen & De Bakker B.V.";"Garage Bossen & De Bakker B.V.";"LANGEDIJK"
"Garage Bote Pietersma";"Garage Bote Pietersma";"Woudsend"
"Garage Casteels";"Garage Casteels";"Hulst"
"Garage Cup Cuijk B.V.";"Autobedrijf Cup, Garage Cup Cuijk, Garage Cup Cuijk B.V.";"CUIJK"
"Garage Cupido B.V.";"Garage Cupido B.V.";"TERSCHELLING"
"Garage de Basis";"Garage de Basis, Garage de Basis";"LEEUWARDEN"
"Garage De Bilt";"Garage De Bilt, Garage De Bilt";"De Bilt"
"Garage De Bilt B.V.";"Garage De Bilt B.V., Garage De Bilt B.V.";"DE BILT"
"Garage de Bliek B.V.";"Garage de Bliek B.V.";"OOSTBURG"
"Garage de Hoop";"Garage de Hoop, Autobedrijf A de Hoop";"Heeg"
"Garage de Jong V.O.F";"Garage de Jong V.O.F";"Stolwijk"
"Garage de Vries - van Hal";"Garage de Vries - van Hal";"Slootdorp"
"Garage De Waard B.V.";"Garage De Waard B.V.";"HARENKARSPEL"
"Garage Den Das B.V.";"Garage Den Das B.V., Autobedrijf den Das";"DEN OEVER"
"Garage Dijkzicht B.V.";"Garage Dijkzicht B.V.";"DORDRECHT"
"Garage Dorenbos B.V.";"Garage Dorenbos, Garage Dorenbos B.V.";"NORG"
"Garage Dros";"Garage Dros";"De Cocksdorp"
"Garage- en Automobielbedrijf De Bruijn Blokker B.V.";"Garage- en Automobielbedrijf De Bruijn Blokker B.V.";"HEILOO"
"Garage- en Caravanbedrijf A. De Vries B.V.";"Garage- en Caravanbedrijf A. De Vries B.V.";"HEERHUGOWAARD"
"Garage- en Expeditiebedrijf Verspui B.V.";"Garage- en Expeditiebedrijf Verspui B.V.";"HOORNAAR"
"Garage en taxibedrijf Schuiling Vof";"Garage en taxibedrijf Schuiling Vof";"Driel"
"Garage Fokkema";"Garage Fokkema";"Franeker"
"Garage G. Mulder";"Garage G. Mulder";"Annen"
"Garage G. Slootweg B.V.";"Garage G. Slootweg B.V.";"AMERSFOORT"
"Garage G.C. van Vliet & Zn. B.V.";"Garage G.C. van Vliet & Zn. B.V.";"WOERDEN"
"Garage Gebrs Van den Boorn B.V.";"Garage Gebrs Van den Boorn B.V.";"MAASTRICHT"
"Garage Gijsberts B.V.";"Garage Gijsberts, Garage Gijsberts B.V.";"ELST, GEMEENTE OVERBETUWE"
"Garage Groenouwe vof";"Garage Groenouwe vof, Garage Groenouwe vof";"Bathmen"
"Garage Haring";"Garage Haring";"Kloosterburen"
"Garage Haring";"Garage Haring";"KLOOSTERBUREN"
"Garage Hartgerink B.V.";"Garage Hartgerink B.V.";"HENGEVELDE"
"Garage Heinneman B.V.";"Garage Heinneman B.V., Vakgarage Heinneman";"SCHILDWOLDE, GEMEENTE SLOCHTEREN"
"Garage Hendriks Rijkevoort B.V.";"Garage Hendriks Rijkevoort B.V,, Garage Hendriks Rijkevoort B.V.";"RIJKEVOORT"
"Garage Hoeke Pijnacker B.V.";"Garage Hoeke Pijnacker B.V.";"DELFT"
"Garage Hoexum V.O.F.";"Autobedrijf Hoexum, Garage Hoexum V.O.F.";"Groet"
"Garage Houtkooper";"Garage Houtkooper";"Stompetoren"
"Garage Huijbregts Reusel B.V.";"Garage Huijbregts Reusel B.V., Garage Huijbregts";"REUSEL"
"Garage J. Fokkema B.V.";"Fokkema Vastgoed, Garage J. Fokkema B.V.";"FRANEKER"
"Garage J. van Leussen";"Garage J. van Leussen";"Dalfsen"
"Garage Jan Kok";"Garage Jan Kok";"Dordrecht"
"Garage Jansen B.V.";"Garage Jansen B.V.";"ZWOLLE"
"Garage Johan Boerlage Autocentrum Boerlage ACB";"Autocentrum Boerlage ACB, Autocentrum Johan Boerlage, Garage Johan Boerlage Autocentrum Boerlage ACB";"Edam"
"Garage John Klein Gunnewiek V.O.F.";"Garagebedrijf/Tankstation John Klein Gunnewiek, Garage John Klein Gunnewiek V.O.F.";"Groenlo"
"Garage Karssen";"Garage Karssen";"Driebergen-Rijsenburg"
"Garage Kempenaar Gouda B.V.";"Autobedrijf Kempenaar B.V., Garage Kempenaar Gouda B.V.";"BODEGRAVEN"
"Garage Klein C.V.";"Garage Klein C.V., Garage Klein C.V.";"Den Oever"
"Garage Klein C.V.";"Garage Klein C.V.";"DEN OEVER"
"Garage Kleine & Zonen B.V.";"Garage Kleine & Zonen  B.V., Garage Kleine & Zonen B.V.";"GEMEENTE DOESBURG"
"Garage Kloosterman V.O.F.";"Garage Kloosterman V.O.F., Garage Kloosterman V.O.F.";"De Wilp"
"Garage Koopman Brouwers B.V.";"Garage Koopman Brouwers B.V.";"WIERINGERWERF"
"Garage Kortekaas";"Garage Kortekaas";"'s-Gravenhage"
"Garage Kramer v.o.f.";"Garage Kramer v.o.f., Fa J. A. Kramer en Zonen";"Zijdewind"
"Garage Leeuwenburg B.V.";"Garage Leeuwenburg B.V., Garage Leeuwenburg";"ROTTERDAM"
"Garage Lubbers";"Garage Lubbers";"HENGELO OV"
"Garage Lubbers";"Garage Lubbers";"Hengelo"
"Garage M. Walstock";"Garage M. Walstock";"Maastricht"
"Garage Marc Berkers B.V.";"Garage Marc Berkers B.V.";"DEURNE"
"Garage Marc Mooij";"Garage Marc Mooij, Garage Marc Mooij, Glasgarage";"Obdam"
"Garage Marré B.V.";"Auto Marre B.V., Garage Marré, Garage Marré B.V.";"AMSTERDAM"
"Garage Mestrom Groesbeek B.V.";"Garage Mestrom Groesbeek B.V.";"GROESBEEK"
"Garage Musterd, Made B.V.";"Garage Musterd Made BV, Garage Musterd, Made B.V.";"MADE"
"Garage Nagy B.V.";"Garage Nagy B.V.";"TEXEL"
"Garage Peerdeman";"Garage Peerdeman";"Grootebroek"
"Garage Piet Sanders B.V.";"Garage Piet Sanders B.V., V.O.F. Garagebedrijf Piet Sanders";"UITGEEST"
"Garage Pluim";"Garage Pluim";"Arnhem"
"Garage Prins B.V.";"Autobedrijf Wim Prins, Garage Prins B.V.";"NUNSPEET"
"Garage R. Biesheuvel Hoofddorp";"Garage R. Biesheuvel Hoofddorp, Garage R. Biesheuvel Hoofddorp, Garagebedrijf R. Biesheuvel Hoofddorp";"Hoofddorp"
"Garage Regie B.V.";"";"MAASTRICHT"
"Garage Rinsma Berlikum B.V.";"Garage Rinsma Berlikum B.V.";"BERLTSUM"
"Garage Robben B.V.";"Garage Robben B.V.";"BERKEL ENSCHOT"
"Garage Roetert B.V.";"Autobedrijf Roetert V.O.F., Garage Roetert, Garage Roetert B.V.";"LOENEN (GEMEENTE APELDOORN)"
"Garage Roto B.V.";"Garage Roto B.V., Garage Roto B.V.";"EINDHOVEN"
"Garage Schmidt B.V.";"Garage Schmidt B.V., Garage Schmidt";"ZEVENHUIZEN"
"Garage Schoenmakers Sittard B.V.";"Garage Schoenmakers Sittard B.V.";"SITTARD"
"Garage Speerstra Wolvega B.V.";"Garage Speerstra, Garage Speerstra Wolvega, Garage Speerstra Wolvega B.V.";"WOLVEGA"
"Garage Standby B.V.";"Autobedrijf Stand-By, Garage Standby B.V.";"DEN HOORN"
"Garage Swart";"Garage Swart";"Wijckel"
"Garage Ter Veld B.V.";"Garage Ter Veld B.V.";"GRIJPSKERK"
"Garage Top";"Garage Top";"Kootwijkerbroek"
"Garage Van Aart";"Garage Van Aart";"Rutten"
"Garage Van Bruchem B.V.";"Garage Van Bruchem, Garage Van Bruchem B.V.";"ZWOLLE"
"Garage van Dalen B.V.";"Garage van Dalen, Garage van Dalen B.V.";"VLAARDINGEN"
"Garage van Damme V.O.F.";"Garage van Damme V.O.F.";"Wildervank"
"Garage van den Brink B.V.";"Garage van den Brink B.V.";"GEMEENTE NUNSPEET"
"Garage Van der Meij V.O.F.";"Garage Van der Meij V.O.F.";"Maartensdijk"
"Garage Van der Pas V.O.F.";"Garage Van der Pas V.O.F.";"Vorstenbosch"
"Garage Van der Stel";"Garage Van der Stel";"Sliedrecht"
"Garage Van der Wolf B.V.";"Garage Van der Wolf B.V.";"DORDRECHT"
"Garage van Lankveld";"Garage van Lankveld";"Boekel"
"Garage Veenis B.V.";"Autobedrijf Veenis BV, Autobedrijf Rovee-Veenis, Garage Veenis B.V.";"ASSENDELFT"
"Garage Verbrugge B.V.";"Garage Verbrugge, Service Center Telair, Garage Verbrugge B.V.";"TERNEUZEN"
"Garage Verheij B.V.";"Garage Verheij B.V.";"GROOT-AMMERS"
"Garage Vervoort en Zn. B.V.";"Garage Vervoort en Zn. B.V.";"DORDRECHT"
"Garage Vink Asten";"Garage Vink Asten, Garage Vink Asten";"Asten"
"Garage Vlietwijk B.V.";"Garage Vlietwijk B.V.";"VOORSCHOTEN"
"Garage W. van Empel";"Garage W. van Empel, Garage W. van Empel";"Tilburg"
"Garage Weesepoel B.V.";"Garage Weesepoel B.V., Garage Weesepoel B.V.";"GEMEENTE TEN BOER"
"Garage Wessels";"Garage Wessels";"Wezep"
"Garage Westend";"Garage Westend";"Oosterend"
"Garage Westerink B.V.";"Garage Westerink BV, Garage Westerink Harderwijk, Garage Westerink Nunspeet, Garage Westerink B.V.";"HARDERWIJK"
"Garage What B.V.";"Garage What B.V.";"UDENHOUT"
"Garage Wilms V.O.F.";"Garage Wilms V.O.F.";"Neerkant"
"Garage Wolters B.V.";"Garage Wolters B.V.";"OUDENHOORN"
"Garagebedrijf Albers";"Garage Albers, Garagebedrijf Albers";"Zuidland"
"Garagebedrijf All-Round B.V.";"Garagebedrijf All-Round B.V., Garagebedrijf All-Round B.V.";"WERVERSHOOF"
"Garagebedrijf Auto Noordhoek B.V.";"Garagebedrijf Auto Noordhoek B.V.";"TILBURG"
"Garagebedrijf Autoverkoop Gul";"Garagebedrijf Autoverkoop Gul";"Egmond aan Zee"
"Garagebedrijf Bakker Apeldoorn B.V.";"Garagebedrijf Bakker Apeldoorn B.V.";"APELDOORN"
"Garagebedrijf Blitterswijk V.O.F.";"Garagebedrijf Blitterswijk, Garagebedrijf Blitterswijk V.O.F.";"Schoonrewoerd"
"Garagebedrijf Covast V.O.F.";"Garagebedrijf Covast V.O.F.";"Strijen"
"Garagebedrijf 'Dekker Krimpen' B.V.";"Garagebedrijf 'Dekker Krimpen' B.V.";"KRIMPEN AD YSSEL"
"Garagebedrijf E.S.B. Geerts B.V.";"Garagebedrijf E.S.B. Geerts B.V.";"MUSSELKANAAL"
"Garagebedrijf Frank Mol";"Garagebedrijf Frank Mol";"Zaandam"
"Garagebedrijf G. van den Akker B.V.";"Garagebedrijf G. van den Akker B.V.";"VEGHEL"
"Garagebedrijf G. van den Akker Helmond B.V.";"Garagebedrijf G. van den Akker, Garagebedrijf G. van den Akker Helmond B.V.";"VEGHEL"
"Garagebedrijf Gebr. Toonders B.V.";"Garagebedrijf Gebr. Toonders B.V.";"BERGEIJK"
"Garagebedrijf Geelen Weert B.V.";"Autobedrijf Geelen Weert BV, Garagebedrijf Geelen Weert B.V.";"WEERT"
"Garagebedrijf J. de Vries";"Garagebedrijf J. de Vries";"Gorredijk"
"Garagebedrijf Jabe Dongen B.V.";"Garagebedrijf Jabe Dongen B.V.";"DONGEN"
"Garagebedrijf Jac. de Brouwer B.V.";"Garagebedrijf Jac. de Brouwer B.V.";"GOIRLE"
"Garagebedrijf Jan Greijmans B.V.";"Garagebedrijf Jan Greijmans, Garagebedrijf Jan Greijmans B.V.";"WEERT"
"Garagebedrijf Kardol B.V.";"Garagebedrijf Kardol B.V.";"GEMEENTE TIEL"
"Garagebedrijf Kiefte B.V.";"Garagebedrijf Kiefte B.V.";"JULIANADORP"
"Garagebedrijf Korterink B.V.";"Garagebedrijf Korterink B.V.";"ROUVEEN"
"Garagebedrijf Korterink Zwolle B.V.";"Garagebedrijf Korterink Zwolle B.V., Garagebedrijf Korterink Zwolle B.V.";"GEMEENTE STAPHORST"
"Garagebedrijf 'Kralingen'";"Garagebedrijf 'Kralingen'";"Rotterdam"
"Garagebedrijf L.M. de Kort B.V.";"Garagebedrijf L.M. de Kort B.V.";"NIEUWKUIJK"
"Garagebedrijf Leije B.V.";"Garagebedrijf Leije B.V.";"ROTTERDAM"
"Garagebedrijf Markgraaff Nijnsel B.V.";"Garagebedrijf Markgraaff Nijnsel B.V., Garagebedrijf Markgraaff Nijnsel B.V.";"SINT OEDENRODE"
"Garagebedrijf P. Glas 't Zand";"Autobedrijf P. Glas, V.O.F. Garage Arjen Zuidema, Garagebedrijf P. Glas 't Zand";"'t Zand"
"Garagebedrijf P.J. Rotteveel v.o.f.";"Garagebedrijf P.J. Rotteveel v.o.f., Garagebedrijf P.J. Rotteveel";"Rijpwetering"
"Garagebedrijf Paul Admiraal B.V.";"Garagebedrijf Paul Admiraal B.V.";"HEILOO"
"Garagebedrijf Petrogas B.V.";"Garagebedrijf Petrogas, Garagebedrijf Petrogas B.V.";"BAAMBRUGGE"
"Garagebedrijf Schel B.V.";"Garagebedrijf Schel B.V.";"ANGERLO"
"Garagebedrijf Schouten Polsbroek B.V.";"Garagebedrijf Schouten Polsbroek B.V.";"LOPIK"
"Garagebedrijf Schrauwen B.V.";"Garagebedrijf Schrauwen B.V., Autobedrijf Schrauwen";"ZUNDERT"
"Garagebedrijf Schurer-Kamphuis B.V.";"Garagebedrijf Schurer-Kamphuis B.V.";"ALMERE"
"Garagebedrijf Siem Edelijn";"Garagebedrijf Siem Edelijn, Garagebedrijf Siem Edelijn";"Akkrum"
"Garagebedrijf Teerink B.V.";"Garagebedrijf Teerink B.V.";"DOETINCHEM"
"Garagebedrijf van Laar B.V.";"Garagebedrijf van Laar B.V., Autobedrijf Van Laar";"VOORTHUIZEN"
"Garagebedrijf Van Laar B.V.";"Garagebedrijf Van Laar B.V.";"HAARLEM"
"Garagebedrijf Van Langen V.O.F.";"Garagebedrijf Van Langen V.O.F., Autobedrijf Fa. van Langen";"Schoorl"
"Garagebedrijf Van Mourik Tiel B.V.";"Garagebedrijf Van Mourik Tiel B.V.";"KESTEREN"
"Garagebedrijf van Vlijmen B.V.";"Garage van Vlijmen, Garagebedrijf van Vlijmen B.V.";"NIEUW LEKKERLAND"
"Garagebedrijf W. Bouman B.V.";"Garagebedrijf W. Bouman B.V., Autobedrijf Wout Bouman";"WIJK EN AALBURG"
"Garagebedrijf W. van Trigt B.V.";"Garagebedrijf W. van Trigt, Garagebedrijf W. van Trigt B.V.";"ZUIDLAND (GEMEENTE BERNISSE)"
"Garagebedrijf 'W.P.I.' B.V.";"Garagebedrijf 'W.P.I.' B.V.";"AALTEN"
"Garagebedrijf Weijers B.V.";"Garagebedrijf Weijers B.V.";"TEUGE"
"Garantadvies";"Garantadvies";"Wijhe"
"GarantiBank International N.V.";"GarantiBank International N.V.";"AMSTERDAM"
"Garantie-Datenbank 24 AG";"Garantie-Datenbank 24 AG";""
"Gard (UK) Limitd";"Gard (UK) Limitd";"London"
"Gard AS";"Gard AS";"ARENDAL"
"Gard Marine & Energy Försäkring AB (publ)";"Gard Marine & Energy Försäkring AB (publ)";"GOTHENBURG"
"Gardenier Advies";"Gardenier Advies, Gardenier Advies";"Drachten"
"Garrè & C. Assicurazioni S.r.l.";"Garrè & C. Assicurazioni S.r.l.";"GENOVA"
"Garton Investments A.V.V.";"Symphony Assurantien, Garton Investments A.V.V.";"ORANJESTAD"
"Garve Adviesgroep";"Garve Adviesgroep, Garve Adviesgroep";"Vriezenveen"
"GAST, Makelaardij & Assurantiën v.o.f.";"GAST, Makelaardij & Assurantiën v.o.f.";"Oirschot"
"GATSBY & WHITE BELGIUM";"GATSBY & WHITE BELGIUM";""
"Gatsby & White S.A.";"Gatsby & White S.A.";"Luxembourg"
"Gauntlet Heritage Insurance Services Limited";"Gauntlet Heritage Insurance Services Limited";""
"GAVA Assurantiën B.V.";"GAVA Assurantiën B.V.";"OUD-BEIJERLAND"
"GB Advies 2 B.V.";"GB Advies 2 B.V., SNS Bank";"WINSCHOTEN, GEMEENTE OLDAMBT"
"GB Advies B.V.";"GB Advies B.V., GB Advies BV t.h.o.d.n. SNS Bank";"APPINGEDAM"
"GB Hypotheekadvies";"GB Hypotheekadvies";"Harderwijk"
"GB Media";"GB Media";"Nieuwegein"
"GBH Kreditversicherungs- und Factoring-Makler GmbH";"GBH Kreditversicherungs- und Factoring-Makler GmbH";""
"Gbrokers SRL";"Gbrokers SRL";""
"GBSAPRI INTERNATIONAL SRL";"GBSAPRI INTERNATIONAL SRL";""
"GBSAPRI NORD SRL";"GBSAPRI NORD SRL";""
"GBSAPRI SPA";"GBSAPRI SPA";"Roma"
"GC Broker Sp. z.o.o.";"GC Broker Sp. z.o.o.";"Kielce"
"GC Securties Limited";"GC Securties Limited";""
"GCube Underwriting Ltd.";"GCube Underwriting Ltd.";"LONDON"
"GD Conseil & Patrimoine";"GD Conseil & Patrimoine";""
"GD Interim & Advies";"GD Interim & Advies";"Veldhoven"
"GE Capital Limited";"GE Capital Limited";""
"GE Commercial Distribution Finance S.A.";"GE Commercial Distribution Finance S.A.";"LEVALLOIS - PERRET"
"GE Corporate Finance";"GE Corporate Finance";"PARIS"
"GE Corporate Finance Bank SAS";"GE Corporate Finance Bank SAS";"PARIS"
"GE Finance Participations S.A.S.";"GE Finance Participations S.A.S.";"PARIS"
"GE Money Bank";"GE Money Bank";"PARIS - LA DÉFENSE"
"GE Mortgage Services Limited";"GE Mortgage Services Limited";""
"GEAND B.V.";"GEAND, GEAND B.V.";"DREUMEL"
"Geba Auto B.V.";"Geba Auto B.V., Geba Auto B.V.";"GEMEENTE TYNAARLO"
"Geba Beheer B.V.";"Adviesburo Bams, Bams Finance, Geba Beheer B.V.";"MAASTRICHT"
"Geba WeMij B.V.";"Geba WeMij B.V., Geba Wemij BV";"DEVENTER"
"Gebben Motoren B.V.";"Gebben Motoren B.V.";"MEPPEL"
"Gebr. Huisman B.V.";"Gebr. Huisman B.V.";"NIBBIXWOUD"
"Gebr. Morren, Autobedrijf";"Gebr. Morren, Autobedrijf";"Otterlo"
"Gebr. Sluyter B.V.";"Gebr. Sluyter B.V.";"ROTTERDAM"
"Gebr. van Doorn";"Gebr. van Doorn, Gebr. van Doorn";"Ammerzoden"
"Gebr. van Duin Hypotheek- en Pensioenadviseurs";"Gebr. van Duin Hypotheek- en Pensioenadviseurs, Gebr. van Duin Hypotheek- en Pensioenadviseurs, Gebroeders van Duin";"Capelle aan den IJssel"
"Gebro Scooters B.V.";"Gebro Scooters B.V.";"MAARSSEN"
"Gebroeders Boendermaker";"Gebroeders Boendermaker";"Amsterdam"
"Gebroeders Link";"Gebroeders Link, Gebroeders Link";"Amsterdam"
"Gebrs. Haaker B.V.";"Autobedrijf Gebr. Haaker, Gebrs. Haaker, Gebrs. Haaker B.V.";"BADHOEVEDORP"
"Gebrüder Krose GmbH";"Gebrüder Krose GmbH";""
"Geelhoed Vastgoed";"Geelhoed Vastgoed";"Maarssen"
"Geen Gezeur Groep B.V.";"Geen Gezeur Groep B.V.";"ROTTERDAM"
"Geenjaar Autobedrijf B.V.";"Geenjaar Autobedrijf, Geenjaar Autobedrijf B.V.";"LEIDEN"
"Geerlig Financieel Advies B.V.";"Geerlig Financieel Advies B.V.";"ZWOLLE"
"Geerlig Holding B.V.";"Geerlig Holding B.V.";"ZWOLLE"
"Geersing Financieel Advies";"Geersing Financieel Advies";"Assen"
"GEERT BOLLANSEE BVBA";"GEERT BOLLANSEE BVBA";""
"Geert Jan de Haan Pensioen en Financieel Advies";"Geert Jan de Haan Pensioen en Financieel Advies";"Schoorl"
"Geerts & Van Meeuwen";"Geerts & Van Meeuwen";"Diessen"
"Geerts B.V.";"Agevo Assurantien, Geerts Adviesgroep, Uw regiomakelaar, Geerts B.V.";"GEMONDE"
"Geerts Bancaire Diensten B.V.";"Geerts Bancaire Diensten, Geerts Bancaire Diensten B.V.";"SON EN BREUGEL"
"Geerts Financiële Dienstverleners B.V.";"Geerts Financiële Dienstverleners B.V., Geerts financiële dienstverleners, Geerts Financiële Dienstverleners B.V., Geerts Verzekeringen, Geerts, GroothandelZeker, ZelfstandigZeker, Immensa";"OOSTERHOUT NB"
"Geertse Hypotheken t.h.o.n. Financiële Meesters";"Geertse Hypotheken t.h.o.n. Financiële Meesters";"Vierpolders"
"Geertsma Assurantiën B.V.";"Ameland Verzekeringen, Geertsma Assurantiën B.V.";"BALK"
"Gefa B.V.";"Gefa B.V., Gefa B.V.";"HOORN"
"GEFI Assurances";"GEFI Assurances";"PARIS"
"GEFI TIME";"GEFI TIME";"PARIS"
"Gefina Broker SRL";"Gefina Broker SRL";""
"GEICO Financial Services Gesellschaft mit beschränkter Haftung";"GEICO Financial Services Gesellschaft mit beschränkter Haftung";""
"Geijsel Kroon B.V.";"Geijsel Adviesgroep, Geijsel Kroon B.V., AOVergelijken.nl, www.zorgverzekeringwijzer.nl";"OUDER-AMSTEL"
"Geilenkirchen Holding B.V.";"Geilenkirchen Holding B.V., Geilenkirchen Holding B.V., Ulenburgh Adviseurs Dronrijp, Ulenburgh Hypotheken Dronrijp, Ulenburgh Dronrijp, Ulenburgh Verzekeringen Dronrijp";"LEEUWARDEN"
"Geisselhofer & Partner Versicherungsmakler GmbH";"Geisselhofer & Partner Versicherungsmakler GmbH";""
"GeJa Kuit h.o.d.n. Schuldbeheer Nederland";"GeJa Kuit h.o.d.n. Schuldbeheer Nederland";"Eindhoven"
"Geld & Gezin";"Geld & Gezin";"Oss"
"Geld & Gezin Altena";"Geld & Gezin Altena";"Giessen"
"Geld & Woning Franchising B.V.";"Geld & Woning Franchising, Geld & Woning Verzekeringen, Geld & Woning Franchising B.V.";"EINDHOVEN"
"Geld en Makelaardij";"Geld en Makelaardij";"Liempde"
"Geld en Woning Waalwijk";"Geld & Woning Waalwijk, Geld en Woning Waalwijk";"Vlijmen"
"Geld Op Maat B.V.";"Geld Op Maat B.V., Geld op Maat Detachering, Op Maat Beleggingen, Op Maat Financieringen, Op Maat Hypotheken, Op Maat Leasing";"ALMERE"
"Geld uit de stenen";"Geld uit de stenen";"Hoofddorp"
"Geld.nl B.V.";"Geld.nl B.V., autoverzekeringkieswijzer.nl, finc, finc.nl";"EINDHOVEN"
"Geldersch Pakhuys Bedrijfsassurantiën";"Geldersch Pakhuys Financieel Advies, Geldersch Pakhuys Bedrijfsassurantiën, Geldersch Pakhuys Bedrijfsassurantiën en financieringen, Geldersch Pakhuys., Getcover";"Arnhem"
"Geldersch Pakhuys Financieel Advies B.V.";"Geldersch Pakhuys Financieel Advies B.V.";"ARNHEM"
"Geldersch Pakhuys Taxiverzekeringen B.V.";"Geldersch Pakhuys Taxiverzekeringen B.V.";"GEMEENTE ARNHEM"
"Gelderse Caravan Centrale B.V.";"Gelderse Caravan Centrale B.V.";"BARNEVELD"
"Gelderse Stichting tot Beheer en Bewindvoering ter Bescherming van Meerderjarigen";"Gelderse Stichting tot Beheer en Bewindvoering ter Bescherming van Meerderjarigen";"ARNHEM"
"Geldhuys financiële diensten";"Geldhuys financiële diensten";"Urk"
"Geldplan Advies";"Geldplan Advies";"Leeuwarden"
"Geldplatform";"Geldplatform";"Almelo"
"Geldpunt";"Herenwal adviseurs, Geldpunt, APC Assurantiën";"Heerenveen"
"Geldshop.nl B.V.";"Geldshop Verzekeringen, Geldlening.nl, Geldshop Financiering, autokrediet.nl, autofinanciering.nl, autolening.nl, betrouwbaarlenen.nl, doorlopend-krediet.nl, flexkrediet.nl, geldleningen.nl, lening.com, leningaanvraag.nl, mijngeldshop.nl, leendesk.nl, lenen.nl, de geldshopper, degeldshopper, Geldcompany, Geldshop, Geldshop.nl, geldshoppen, geldshopper, Kredietcompany";"'S-GRAVENHAGE"
"Geldvoorelkaar.nl";"Geldvoorelkaar.nl";"Veenendaal"
"Geldwinkel Administratiekantoor B.V.";"Geldwinkel Administratiekantoor B.V.";"HAARLEM"
"Geldwinkel Assurantie B.V.";"Geldwinkel Assurantie B.V., De Geldwinkel Kennemerland";"HAARLEM"
"Geldwinkel Hypotheken B.V.";"Geldwinkel Hypotheken B.V., De Geldwinkel Kennemerland";"HAARLEM"
"GeldXpert Advies B.V.";"GeldXpert Advies B.V.";"ALKMAAR"
"GeldXpert Alkmaar B.V.";"GeldXpert Alkmaar B.V.";"ALKMAAR"
"GeldXpert Alkmaar Centrum B.V.";"Steijlen Participaties t.h.o.d.n. GeldXpert Alkmaar Centrum, GeldXpert Alkmaar Centrum B.V., GeldXpert Alkmaar Centrum";"ALKMAAR"
"GeldXpert Beverwijk B.V.";"GeldXpert, GeldXpert Beverwijk, GeldXpert Beverwijk/ Gijzen Assurantiën, Gijzen Assurantiën, GeldXpert Beverwijk B.V.";"BEVERWIJK"
"GeldXpert Heerenveen B.V.";"GeldXpert Heerenveen B.V., GeldXpert Heerenveen BV";"HEERENVEEN"
"GeldXpert Hoogeveen";"GeldXpert Hoogeveen, Hup en Fidom Verzekeringen";"Hoogeveen"
"GeldXpert Noord-Oost Friesland";"GeldXpert Noord-Oost Friesland";"Burgum"
"GeldXpert Schagen";"Nieuwe Hollandse Bedrijfsfinancieringen, OIB (Ondernemen in Balans), GeldXpert NHN, GeldXpert Schagen, GeldXpert Schagen";"Schagen"
"Geldzaken";"Geldzaken, Heldere Geldzaken, Heldere Geldzaken t.h.o.d.n. Finzie Zwolle";"Zwolle"
"Gelens Adviesgroep B.V.";"Gelens Adviesgroep, Gelens Adviesgroep B.V.";"HAARLEM"
"Gelissen 2-Wielers";"Gelissen 2-Wielers";"Stein"
"Gemakswinkel Aan de Amstel";"Gemakswinkel Aan de Amstel";"Ouderkerk aan de Amstel"
"Gemakswinkel Krol & de Kleijn";"Gemakswinkel Krol & de Kleijn";"Rozenburg"
"Gemakswinkel Lenzen V.O.F.";"Gemakswinkel Lenzen V.O.F., Gemakswinkel Lenzen V.O.F.";"Heerlen"
"Gemaq B.V.";"Gemaq B.V., Verder met Werken, Derks & Partners, V.m.W., Payroll Insurance, Payroll Verzekeringen, Met gemaq, Verzekerd met gemaq, Gemaq";"GROESBEEK"
"Gember Bureau Sociaal Juridische               Dienstverlening";"Gember Bureau Sociaal Juridische               Dienstverlening";"Eindhoven"
"Gemeente Achtkarspelen";"Gemeente Achtkarspelen";"Buitenpost"
"Gemini Financial Management Limited";"Gemini Financial Management Limited";""
"General & Medical Finance Ltd";"General & Medical Finance Ltd";"Cambridgeshire"
"General Brokers";"General Brokers";""
